,id,image_url,rating,votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,viewers_in_millions,video_url,score,rank
0,12,http://static-media.fxx.com/img/FX_Networks_-_FXX/245/843/Simpsons_01_12.jpg,8.3,1716,12,12,1990-04-29,1990,7G12,1,Krusty Gets Busted,30.4,http://www.simpsonsworld.com/video/288019523914,252.32000000000002,1
1,9,http://static-media.fxx.com/img/FX_Networks_-_FXX/132/587/Simpsons_01_11.jpg,7.5,1578,9,9,1990-03-18,1990,7G11,1,Life on the Fast Lane,33.5,http://www.simpsonsworld.com/video/280384579592,251.25,2
2,11,http://static-media.fxx.com/img/FX_Networks_-_FXX/350/31/Simpsons_01_13.jpg,7.8,1539,11,11,1990-04-15,1990,7G13,1,The Crepes of Wrath,31.2,http://www.simpsonsworld.com/video/306382403766,243.35999999999999,3
3,220,http://static-media.fxx.com/img/FX_Networks_-_FXX/619/795/Simpsons_10_17.jpg,7.6,843,17,220,1999-03-28,1999,AABF13,10,Maximum Homerdrive,15.5,http://www.simpsonsworld.com/video/473095235738,117.8,1
4,213,http://static-media.fxx.com/img/FX_Networks_-_FXX/638/839/Simpsons_10_10.jpg,7.8,928,10,213,1999-01-10,1999,AABF06,10,Viva Ned Flanders,11.5,http://www.simpsonsworld.com/video/473115203586,89.7,2
5,221,http://static-media.fxx.com/img/FX_Networks_-_FXX/100/486/Simpsons_10_18.jpg,7.3,851,18,221,1999-04-04,1999,AABF14,10,Simpsons Bible Stories,12.2,http://www.simpsonsworld.com/video/299678275566,89.05999999999999,3
6,240,http://static-media.fxx.com/img/FX_Networks_-_FXX/301/499/Simpsons_11_14.jpg,7.9,887,14,240,2000-02-13,2000,BABF11,11,Alone Again| Natura-diddily,10.8,http://www.simpsonsworld.com/video/288077891629,85.32000000000001,1
7,238,http://static-media.fxx.com/img/FX_Networks_-_FXX/549/155/Simpsons_11_12.jpg,7.3,747,12,238,2000-01-23,2000,BABF08,11,The Mansion Family,11.3,http://www.simpsonsworld.com/video/279747651734,82.49000000000001,2
8,236,http://static-media.fxx.com/img/FX_Networks_-_FXX/244/955/Simpsons_11_08.jpg,7.3,715,10,236,2000-01-09,2000,BABF04,11,Little Big Mom,10,http://www.simpsonsworld.com/video/300903491898,73.0,3
9,257,http://static-media.fxx.com/img/FX_Networks_-_FXX/887/143/Simpsons_12_04.jpg,8,899,9,257,2001-01-07,2001,BABF22,12,HOMR,18.5,http://www.simpsonsworld.com/video/306945603638,148.0,1
10,259,http://static-media.fxx.com/img/FX_Networks_-_FXX/142/718/Simpsons_12_12__493414.jpg,7.5,761,11,259,2001-02-04,2001,CABF08,12,Worst Episode Ever,18.5,http://www.simpsonsworld.com/video/310459971509,138.75,2
11,262,http://static-media.fxx.com/img/FX_Networks_-_FXX/121/223/Simpsons_12_16.jpg,7.2,833,14,262,2001-02-25,2001,CABF12,12,New Kids on the Blecch,18.1,http://www.simpsonsworld.com/video/310437443723,130.32000000000002,3
